Stock Price,Date,Stock.Name,Graham.number
41.22,12/31/2020,EXXON MOBIL CORPORATION,58.24
41.6,12/30/2020,EXXON MOBIL CORPORATION,58.24
41.27,12/29/2020,EXXON MOBIL CORPORATION,58.24
41.74,12/28/2020,EXXON MOBIL CORPORATION,58.24
41.6,12/24/2020,EXXON MOBIL CORPORATION,58.24
41.77,12/23/2020,EXXON MOBIL CORPORATION,58.24
41.24,12/22/2020,EXXON MOBIL CORPORATION,58.24
41.95,12/21/2020,EXXON MOBIL CORPORATION,58.24
42.73,12/18/2020,EXXON MOBIL CORPORATION,58.24
43.48,12/17/2020,EXXON MOBIL CORPORATION,58.24
43.7,12/16/2020,EXXON MOBIL CORPORATION,58.24
43.04,12/15/2020,EXXON MOBIL CORPORATION,58.24
42.22,12/14/2020,EXXON MOBIL CORPORATION,58.24
43.8,12/11/2020,EXXON MOBIL CORPORATION,58.24
44.01,12/10/2020,EXXON MOBIL CORPORATION,58.24
42.8,12/9/2020,EXXON MOBIL CORPORATION,58.24
42.24,12/8/2020,EXXON MOBIL CORPORATION,58.24
40.9,12/7/2020,EXXON MOBIL CORPORATION,58.24
41.68,12/4/2020,EXXON MOBIL CORPORATION,58.24
40.21,12/3/2020,EXXON MOBIL CORPORATION,58.24
39.94,12/2/2020,EXXON MOBIL CORPORATION,58.24
38.5,12/1/2020,EXXON MOBIL CORPORATION,58.24
38.13,11/30/2020,EXXON MOBIL CORPORATION,58.24
40.19,11/27/2020,EXXON MOBIL CORPORATION,58.24
40.81,11/25/2020,EXXON MOBIL CORPORATION,58.24
41.98,11/24/2020,EXXON MOBIL CORPORATION,58.24
39.36,11/23/2020,EXXON MOBIL CORPORATION,58.24
36.94,11/20/2020,EXXON MOBIL CORPORATION,58.24
37.4,11/19/2020,EXXON MOBIL CORPORATION,58.24
37.21,11/18/2020,EXXON MOBIL CORPORATION,58.24
38.67,11/17/2020,EXXON MOBIL CORPORATION,58.24
38.16,11/16/2020,EXXON MOBIL CORPORATION,58.24
36.08,11/13/2020,EXXON MOBIL CORPORATION,58.24
35.23,11/12/2020,EXXON MOBIL CORPORATION,58.24
36.48,11/11/2020,EXXON MOBIL CORPORATION,58.24
36.86,11/10/2020,EXXON MOBIL CORPORATION,58.24
36.93,11/9/2020,EXXON MOBIL CORPORATION,58.24
32.78,11/6/2020,EXXON MOBIL CORPORATION,58.24
33.17,11/5/2020,EXXON MOBIL CORPORATION,58.24
33.23,11/4/2020,EXXON MOBIL CORPORATION,58.24
33.41,11/3/2020,EXXON MOBIL CORPORATION,58.24
33.99,11/2/2020,EXXON MOBIL CORPORATION,58.24
32.62,10/30/2020,EXXON MOBIL CORPORATION,58.24
32.97,10/29/2020,EXXON MOBIL CORPORATION,58.24
31.57,10/28/2020,EXXON MOBIL CORPORATION,58.24
32.82,10/27/2020,EXXON MOBIL CORPORATION,58.24
33.35,10/26/2020,EXXON MOBIL CORPORATION,58.24
34.16,10/23/2020,EXXON MOBIL CORPORATION,58.24
34.86,10/22/2020,EXXON MOBIL CORPORATION,58.24
33.16,10/21/2020,EXXON MOBIL CORPORATION,58.24
33.7,10/20/2020,EXXON MOBIL CORPORATION,58.24
33.42,10/19/2020,EXXON MOBIL CORPORATION,58.24
34.1,10/16/2020,EXXON MOBIL CORPORATION,58.24
34.45,10/15/2020,EXXON MOBIL CORPORATION,58.24
34.15,10/14/2020,EXXON MOBIL CORPORATION,58.24
34.22,10/13/2020,EXXON MOBIL CORPORATION,58.24
34.63,10/12/2020,EXXON MOBIL CORPORATION,58.24
34.74,10/9/2020,EXXON MOBIL CORPORATION,58.24
35.26,10/8/2020,EXXON MOBIL CORPORATION,58.24
33.5,10/7/2020,EXXON MOBIL CORPORATION,58.24
33.39,10/6/2020,EXXON MOBIL CORPORATION,58.24
33.74,10/5/2020,EXXON MOBIL CORPORATION,58.24
32.98,10/2/2020,EXXON MOBIL CORPORATION,58.24
33.13,10/1/2020,EXXON MOBIL CORPORATION,58.24
34.33,9/30/2020,EXXON MOBIL CORPORATION,58.24
34.28,9/29/2020,EXXON MOBIL CORPORATION,58.24
35.31,9/28/2020,EXXON MOBIL CORPORATION,58.24
34.64,9/25/2020,EXXON MOBIL CORPORATION,58.24
34.32,9/24/2020,EXXON MOBIL CORPORATION,58.24
34.39,9/23/2020,EXXON MOBIL CORPORATION,58.24
35.53,9/22/2020,EXXON MOBIL CORPORATION,58.24
36.43,9/21/2020,EXXON MOBIL CORPORATION,58.24
37.19,9/18/2020,EXXON MOBIL CORPORATION,58.24
37.8,9/17/2020,EXXON MOBIL CORPORATION,58.24
37.81,9/16/2020,EXXON MOBIL CORPORATION,58.24
36.27,9/15/2020,EXXON MOBIL CORPORATION,58.24
36.66,9/14/2020,EXXON MOBIL CORPORATION,58.24
36.9,9/11/2020,EXXON MOBIL CORPORATION,58.24
