"date","BP_price","news_sentiment_score","ice_brent_settle","NYMEX_settle","DJ_comp","DJ_indus","DJ_tran","DJ_utility","SP500_price","apple_driving_index","apple_transit_index","apple_walking_index"
2020-01-21,20.52,-0.400000006,51.8,48.52,10108.71,30606.48,12506.93,864.64,3756.07,91.63,33.65,93.16
2020-01-22,21.03,-0.200000003,51.63,48.4,10036.39,30409.56,12459.23,850.59,3732.04,100.03,39.23,97.23
2020-01-23,20.99,-0.5,50.86,47.62,10047.26,30403.97,12524.02,849.55,3735.36,86.76,33.67,81.4
2020-01-24,20.68,-0.300000012,50.91,47.74,9994.59,30216.45,12485.53,844.96,3694.92,102.03,41.54,105.03
2020-01-27,21.9,0.300000012,51.5,48.36,10080.77,30303.37,12639.18,866.78,3722.48,95.14,39.1,96.46
2020-01-30,21.83,-0.699999988,51.08,47.82,10009.58,30154.54,12497.95,859.59,3701.17,92.8,38.78,97.33
2020-01-31,21.94,-0.200000003,50.76,47.62,10035.91,30199.31,12486.18,871.54,3694.62,90.17,38.87,94.52
2020-02-05,22.03,-0.066666668,49.97,46.57,10017.75,30046.37,12672.38,855.1,3663.46,101.45,39.8,104.38
2020-02-10,21.9,-0.5,48.86,45.52,10052.59,30068.81,12803.02,856.76,3672.82,89.26,39.5,93.24
2020-02-11,22.27,-0.200000007,49.25,46.26,10067.98,30218.26,12742.08,856.13,3699.12,105.75,42.56,110.36
2020-02-12,21.07,-0.300000007,48.25,45.28,9991.95,29883.79,12546.54,874.66,3669.01,91.09,41.45,96
2020-02-13,20.24,-0.520000005,47.42,44.55,9958.26,29823.92,12493.74,868.25,3662.45,90.86,41.86,95.18
2020-02-14,21.1,-0.300000012,48.18,45.53,9997.83,29910.37,12561.43,873.18,3638.35,88.54,38.28,93.85
2020-02-19,21.41,-0.450000018,48.61,45.71,10016.17,29872.47,12621.42,880.98,3629.65,113.06,44.64,107.73
2020-02-27,21.86,0.300000012,47.86,44.91,10072.95,30046.24,12715.38,882.62,3635.41,105.1,45.67,104.1
2020-02-28,14.9,-0.466666669,39.12,37.39,8976.63,26519.95,10945.62,865.33,3271.03,104.11,45.66,99.77
2020-03-04,15.38,-0.300000012,41.2,39.57,9307.29,27463.19,11431.61,890.68,3390.68,104.09,44.84,100.58
2020-03-05,17.67,-0.699999988,41.03,39.29,9131.83,27452.66,11301.01,808.99,3335.47,106.01,47.75,102.39
2020-03-18,18.18,0.100000001,42.43,40.6,9188.66,27584.06,11440.95,810.2,3351.6,104.71,48.31,101.95
2020-03-24,17.86,0.100000001,41.92,40.25,9069.85,27173.96,11270,808.13,3298.46,133.71,51.89,133.12
2020-03-26,18.32,-0.350000009,41.44,39.31,9009.48,27147.7,11129.51,793.72,3281.06,104.98,48.41,102.84
2020-03-31,19.56,0.200000003,43.3,40.97,9274.59,27901.98,11552.36,810.81,3357.01,116.04,49.16,112.13
2020-04-06,19.96,0.100000001,42.22,40.16,9307.08,28032.38,11555.14,814.51,3385.49,112.33,47.3,108.13
2020-04-08,20.93,-0.200000003,45.28,42.61,9286.56,28430.05,11185.35,803.22,3500.31,108.95,44.89,103.62
2020-04-20,21.62,-0.100000001,45.86,43.35,9253.63,28248.44,11127.01,810.8,3443.62,109.32,44.43,106.1
2020-04-28,21.91,-0.250000011,45.13,42.62,9282.43,28308.46,11148.61,817.71,3431.28,108.83,45.01,104.11
2020-05-01,22.24,-0.699999988,45.37,42.93,9107.45,27692.88,10883.12,817.16,3374.85,118.23,46.3,108.48
2020-05-08,22.36,-0.5,45.46,42.89,9125.74,27778.07,10865.12,820.37,3389.78,113.99,45.92,108.07
2020-05-13,22.99,0.100000001,44.8,42.01,9183.35,27931.02,10959.54,824.87,3372.85,139.39,49.04,133.96
2020-05-22,24.26,0.300000012,45.43,42.67,9208.97,27976.84,10936.1,836.74,3380.35,117.23,45.67,112.29
2020-05-27,23.5,-0.5,44.99,41.94,9166.38,27791.44,10864.94,841.03,3360.47,113.79,46.16,108.39
2020-06-08,23.26,-0.140000004,45.09,41.95,8952.74,27386.98,10331.09,828.87,3349.16,119.37,45.58,113.68
2020-06-15,23.95,-0.300000011,45.17,42.19,8886.24,27201.52,10215.41,825.37,3327.77,115.59,45.22,109.49
2020-06-16,23.74,-0.699999988,44.43,41.7,8800.84,26828.47,10086.66,832.49,3306.51,114.8,44.99,108.83
2020-06-24,22.04,0.200000003,43.52,40.27,8701.84,26428.32,9994.81,830.77,3271.12,135.63,46.66,126.54
2020-06-29,22.44,-0.200000003,42.94,39.92,8656.46,26313.65,9907.48,828.13,3246.22,118.32,43.83,110.38
2020-06-30,22.82,-0.100000001,43.22,41.04,8618.93,26379.28,9696.55,825.47,3218.44,111.27,44,106.48
2020-07-01,24.09,0.100000001,44.32,41.96,8721.8,26840.4,9810.31,820.47,3257.3,109.34,43.59,104.38
2020-07-06,22.94,-0.250000004,43.28,40.81,8671.17,26680.87,9745.13,817.04,3251.84,107.6,42.46,102.72
2020-07-07,23.72,0.100000001,43.37,40.75,8677.43,26734.71,9791.39,809.52,3215.57,111.91,43.11,105.84
