"date","chevron_stock_price","news_sentiment_score","ice_brent_settle","NYMEX_settle","DJ_comp","DJ_indus","DJ_tran","DJ_utility","SP500_price","apple_driving_index","apple_transit_index","apple_walking_index"
2020-01-13,84.45,-0.200000003,51.8,48.52,10108.71,30606.48,12506.93,864.64,3756.07,91.63,33.65,93.16
2020-01-16,84.61,-0.200000003,51.09,48,10012.73,30335.67,12429.48,848.89,3727.04,95.47,39.41,94.64
2020-01-22,85.69,0.100000001,51.2,48.12,9976.14,30129.83,12516.57,840.18,3690.01,111.48,40.66,107.99
2020-01-24,87.19,-0.400000006,52.26,49.1,10024.91,30179.05,12566.07,857.26,3709.41,108.93,41.64,111.04
2020-01-28,88.69,0.699999988,51.08,47.82,10009.58,30154.54,12497.95,859.59,3701.17,92.8,38.78,97.33
2020-01-29,89.44,-0.300000012,50.29,46.99,9916.33,29861.55,12382.97,852.81,3647.49,87.5,40.06,91.19
2020-01-31,92.45,-0.699999988,49.97,46.57,10017.75,30046.37,12672.38,855.1,3663.46,101.45,39.8,104.38
2020-02-03,90.44,-0.699999988,48.86,45.52,10052.59,30068.81,12803.02,856.76,3672.82,89.26,39.5,93.24
2020-02-05,91.54,0.100000001,48.84,45.6,10070.41,30173.88,12777.05,858.36,3702.25,86.88,38.81,91.61
2020-02-06,93.28,0.200000003,49.25,46.26,10067.98,30218.26,12742.08,856.13,3699.12,105.75,42.56,110.36
2020-02-10,87.18,-0.400000006,47.88,45.34,9901.74,29638.64,12450.17,861.74,3621.63,89.45,42.23,90.75
2020-02-13,85.73,-0.300000012,44.2,41.74,9868.93,29483.23,12350.75,872.94,3581.87,98.84,45.11,97.13
2020-02-26,84.28,-0.300000001,44.34,41.82,9873.75,29438.42,12348.31,881.37,3567.79,95.05,44.3,94.2
2020-02-28,82.46,-0.300000012,43.8,41.45,9853.43,29397.63,12006.71,917.19,3572.66,101.34,46.26,102.8
2020-03-03,83.07,0.300000012,43.61,41.36,9875.34,29420.92,12096.55,916.18,3545.53,97.03,44.92,95.48
2020-03-04,71.77,-0.166666667,41.23,39.15,9352.63,27847.66,11391.91,877.69,3443.44,92.21,43.37,91.68
2020-03-11,68.8,-0.5,37.65,36.17,9058.22,26659.11,11183.52,867.65,3310.11,110.99,47.67,106.86
2020-04-16,66.88,0.100000009,39.12,37.39,8976.63,26519.95,10945.62,865.33,3271.03,104.11,45.66,99.77
2020-04-17,73.4,-0.100000001,42.46,40.64,9549.86,28363.66,11748.55,891.28,3453.49,109.51,46.69,104.45
2020-04-28,73.51,0.699999988,43.16,40.96,9596.37,28494.2,11988.83,875.22,3483.34,111.24,48.5,108.01
2020-05-01,75.22,-0.300000012,43.34,41.19,9535.99,28425.51,11762.56,875.3,3446.83,108.8,47.08,104.24
2020-05-13,71.9,-0.400000006,41.03,39.29,9131.83,27452.66,11301.01,808.99,3335.47,106.01,47.75,102.39
2020-05-20,73.93,-0.5,42.43,40.6,9188.66,27584.06,11440.95,810.2,3351.6,104.71,48.31,101.95
2020-06-01,71.95,0.200000003,41.77,39.93,8912.4,26763.13,11095.09,785.16,3236.92,108.87,47.04,107.64
2020-06-11,87.2,-0.300000012,45.13,42.62,9282.43,28308.46,11148.61,817.71,3431.28,108.83,45.01,104.11
2020-06-12,89.82,0.300000012,44.96,42.24,9178.77,27896.72,10886.48,834.39,3373.43,120.06,45.51,114.26
2020-06-17,89.62,-0.600000024,44.5,41.61,9116.6,27686.91,10889.53,821.99,3333.69,115.07,45.6,110.01
2020-06-18,89.73,-0.100000001,44.99,41.94,9166.38,27791.44,10864.94,841.03,3360.47,113.79,46.16,108.39
2020-06-23,86.8,-0.033333331,44.4,41.22,9040.58,27433.48,10576.38,843.23,3351.28,136.1,47.26,130.21
2020-06-24,87.47,0.100000001,45.09,41.95,8952.74,27386.98,10331.09,828.87,3349.16,119.37,45.58,113.68
2020-06-30,86.49,-0.600000024,44.43,41.7,8800.84,26828.47,10086.66,832.49,3306.51,114.8,44.99,108.83
2020-07-17,83.94,-0.450000018,43.52,40.27,8701.84,26428.32,9994.81,830.77,3271.12,135.63,46.66,126.54
2020-07-20,90.13,-0.100000001,43.34,41.29,8643.85,26469.89,9730.12,825.74,3215.63,129.68,45.06,122.11
2020-07-23,91.01,0.5,43.31,41.07,8694.92,26652.33,9763.69,830.7,3235.66,114.01,41.78,108.04
2020-07-24,85.27,-0.100000001,43.28,40.81,8671.17,26680.87,9745.13,817.04,3251.84,107.6,42.46,102.72
2020-07-31,87.19,-0.800000012,43.14,40.59,8723.95,26671.95,9900.09,828.6,3224.73,126.41,45.19,121.03
2020-08-04,89.23,-0.699999988,41.15,39.27,8292.07,25812.88,9172.72,767.5,3100.29,110.33,45.2,104.01
2020-08-06,87.64,-0.200000003,40.31,38.01,8163.9,25445.94,8899.24,767.6,3050.33,109.89,45.99,103.11
2020-08-07,91.44,-0.300000004,42.63,40.37,8370.31,26156.1,9181.57,773.47,3131.29,107.5,45.81,101.23
2020-08-10,91.94,-0.200000003,41.51,38.84,8408.05,26080.1,9207.63,798.74,3115.34,109.55,43.34,99.76
2020-08-11,91.54,-0.600000009,40.71,37.96,8425.29,26119.61,9239.09,800.36,3113.49,105.9,43.55,97.95
2020-08-13,92.39,-0.300000012,38.73,36.26,8280.24,25605.54,9081.9,793,3041.31,118.96,42.73,109.1
2020-08-24,89.37,-0.300000012,38.55,36.34,8137.92,25128.17,8839.36,793.23,3002.1,104.13,41.2,94.86
2020-09-23,92.79,-0.5,38.32,35.44,8271.8,25475.02,8965.91,815.33,3055.73,83.71,33.77,78.15
2020-09-28,93,-0.050000001,35.75,33.49,7899.45,24575.9,8488.98,761.59,2971.61,83.81,31.15,78.7
2020-09-29,88.7,0.150000004,29.19,25.29,7478.46,23247.97,7823.8,747.54,2820,73.64,28.97,68.08
2020-10-08,89.44,0.400000006,26.44,19.78,7658.99,23723.69,8144.86,759.08,2830.71,73.47,28.51,63.79
2020-10-15,89.91,0.300000012,20.46,12.34,7871.68,24101.55,8407.32,804.93,2863.39,60.66,26.89,54.06
2020-10-22,87.17,-0.060000001,28.08,18.27,7896.55,24242.49,8233.81,823.98,2874.56,60.08,25.48,51.53
2020-10-28,79.99,-0.100000005,27.82,19.87,7659.7,23537.68,7981.93,797.54,2799.55,54.41,24.24,48.7
2020-10-29,84.98,0.100000001,35.79,32.98,7720.97,23553.22,8126.09,812.44,2741.38,105.59,97.28,94.85
2020-11-04,94.39,0.300000012,51.13,46.78,8900.54,27090.86,9512.05,926.14,3130.12,112.66,109.27,102.35
2020-11-10,96.59,0.300000012,51.86,47.18,8520.3,25917.41,9200.67,877.25,3003.37,115.82,110.96,111.67
2020-11-11,93.34,0.100000001,49.67,44.76,8394.63,25409.36,9388.19,839.96,2954.22,136.49,119.8,131.72
2020-11-18,98.04,-0.200000003,53.43,48.73,8909.77,26957.59,9840.89,906.97,3116.39,115.08,113.27,108.03
2020-11-19,111.66,0.250000004,56.34,51.42,9700.51,29423.31,10994.14,947.38,3373.94,124.88,116,115.97
2020-11-30,109.79,-0.300000012,53.27,49.57,9622.64,29276.82,10866.58,934.97,3352.09,107.18,110.71,100.38
2020-12-04,109.49,-0.100000001,54.93,50.95,9644.34,29379.77,10874.4,935.16,3345.78,114.26,111.84,104.81
2020-12-08,110.28,-0.050000001,55.28,50.75,9638.33,29290.85,10928.84,934.85,3334.69,108.44,107.1,99.8
2020-12-09,106.28,-0.500000015,54.45,50.11,9406.73,28399.81,10590.66,940.67,3248.92,100.77,103.08,91.3
2020-12-11,107.14,-0.250000004,56.62,51.56,9370.29,28256.03,10566.74,938.57,3225.52,128.51,116.1,125.49
2020-12-14,110.37,-0.133333335,59.81,53.33,9527.45,28734.45,10905.64,935.1,3273.4,106.63,107.54,99.43
2020-12-16,111.12,0.200000003,59.51,53.48,9512.13,28722.85,10861.34,933.09,3276.24,105.89,107.09,98.97
2020-12-18,111.85,-0.100000001,60.69,54.19,9603.24,28989.73,11059.84,931.94,3295.47,128.14,117.03,126.01
2020-12-23,112.9,-0.300000012,63.21,56.74,9606.01,29186.27,10999.36,919.96,3321.75,109.41,110.68,104.59
2020-12-29,116.89,0.200000003,64.62,58.52,9656.44,29297.64,11304.97,900.42,3316.81,109.36,100.18,98.45
