"date","Exxon_stock_price","news_sentiment_score","ice_brent_settle","NYMEX_settle","DJ_comp","DJ_indus","DJ_tran","DJ_utility","SP500_price","apple_driving_index","apple_transit_index","apple_walking_index"
2020-12-31,41.22,-0.1,51.8,48.52,10108.71,30606.48,12506.93,864.64,3756.07,91.63,33.65,93.16
2020-12-30,41.6,-0.4,51.63,48.4,10036.39,30409.56,12459.23,850.59,3732.04,100.03,39.23,97.23
2020-12-29,41.27,-0.5,51.09,48,10012.73,30335.67,12429.48,848.89,3727.04,95.47,39.41,94.64
2020-12-24,41.6,-0.2,51.29,48.23,10000.95,30199.87,12522.92,845.97,3703.06,82.82,29.54,82
2020-12-22,41.24,0.3,50.08,47.02,9945.09,30015.51,12459.81,842.22,3687.26,104.77,41.09,106.16
2020-12-18,42.73,-0.1,52.26,49.1,10024.91,30179.05,12566.07,857.26,3709.41,108.93,41.64,111.04
2020-12-17,43.48,-0.3,51.5,48.36,10080.77,30303.37,12639.18,866.78,3722.48,95.14,39.1,96.46
2020-12-16,43.7,-0.33,51.08,47.82,10009.58,30154.54,12497.95,859.59,3701.17,92.8,38.78,97.33
2020-12-15,43.04,0.1,50.76,47.62,10035.91,30199.31,12486.18,871.54,3694.62,90.17,38.87,94.52
2020-12-09,42.8,-0.13,48.86,45.52,10052.59,30068.81,12803.02,856.76,3672.82,89.26,39.5,93.24
2020-12-08,42.24,-0.18,48.84,45.6,10070.41,30173.88,12777.05,858.36,3702.25,86.88,38.81,91.61
2020-12-04,41.68,-0.05,49.25,46.26,10067.98,30218.26,12742.08,856.13,3699.12,105.75,42.56,110.36
2020-12-03,40.21,-0.37,48.71,45.64,10004.29,29969.52,12586.82,866.89,3666.72,93.69,40.97,96.54
2020-12-02,39.94,-0.28,48.25,45.28,9991.95,29883.79,12546.54,874.66,3669.01,91.09,41.45,96
2020-12-01,38.5,-0.3,47.42,44.55,9958.26,29823.92,12493.74,868.25,3662.45,90.86,41.86,95.18
2020-11-27,40.19,0.1,48.18,45.53,9997.83,29910.37,12561.43,873.18,3638.35,88.54,38.28,93.85
2020-11-25,40.81,-0.3,48.61,45.71,10016.17,29872.47,12621.42,880.98,3629.65,113.06,44.64,107.73
2020-11-18,37.21,-0.43,44.34,41.82,9873.75,29438.42,12348.31,881.37,3567.79,95.05,44.3,94.2
2020-11-11,36.48,0.1,43.8,41.45,9853.43,29397.63,12006.71,917.19,3572.66,101.34,46.26,102.8
2020-11-10,36.86,0.1,43.61,41.36,9875.34,29420.92,12096.55,916.18,3545.53,97.03,44.92,95.48
2020-11-09,36.93,-0.22,42.4,40.29,9753.13,29157.97,11900.46,898.85,3550.5,92.59,44.04,90.69
2020-11-04,33.23,-0.37,41.23,39.15,9352.63,27847.66,11391.91,877.69,3443.44,92.21,43.37,91.68
2020-10-28,31.57,0.1,39.12,37.39,8976.63,26519.95,10945.62,865.33,3271.03,104.11,45.66,99.77
