date,Exxon_stock_price
12/31/20,41.22
12/30/20,41.6
12/29/20,41.27
12/28/20,41.74
12/24/20,41.6
12/23/20,41.77
12/22/20,41.24
12/21/20,41.95
12/18/20,42.73
12/17/20,43.48
12/16/20,43.7
12/15/20,43.04
12/14/20,42.22
12/11/20,43.8
12/10/20,44.01
12/9/20,42.8
12/8/20,42.24
12/7/20,40.9
12/4/20,41.68
12/3/20,40.21
12/2/20,39.94
12/1/20,38.5
11/30/20,38.13
11/27/20,40.19
11/25/20,40.81
11/24/20,41.98
11/23/20,39.36
11/20/20,36.94
11/19/20,37.4
11/18/20,37.21
11/17/20,38.67
11/16/20,38.16
11/13/20,36.08
11/12/20,35.23
11/11/20,36.48
11/10/20,36.86
11/9/20,36.93
11/6/20,32.78
11/5/20,33.17
11/4/20,33.23
11/3/20,33.41
11/2/20,33.99
10/30/20,32.62
10/29/20,32.97
10/28/20,31.57
10/27/20,32.82
10/26/20,33.35
10/23/20,34.16
10/22/20,34.86
10/21/20,33.16
10/20/20,33.7
10/19/20,33.42
10/16/20,34.1
10/15/20,34.45
10/14/20,34.15
10/13/20,34.22
10/12/20,34.63
10/9/20,34.74
10/8/20,35.26
10/7/20,33.5
10/6/20,33.39
10/5/20,33.74
10/2/20,32.98
10/1/20,33.13
9/30/20,34.33
9/29/20,34.28
9/28/20,35.31
9/25/20,34.64
9/24/20,34.32
9/23/20,34.39
9/22/20,35.53
9/21/20,36.43
9/18/20,37.19
9/17/20,37.8
9/16/20,37.81
9/15/20,36.27
9/14/20,36.66
9/11/20,36.9
9/10/20,37
9/9/20,37.95
9/8/20,38.18
9/4/20,39.08
9/3/20,39.11
9/2/20,39.19
9/1/20,39.43
8/31/20,39.94
8/28/20,40.69
8/27/20,39.74
8/26/20,40.01
8/25/20,40.88
8/24/20,42.22
8/21/20,41.01
8/20/20,41.32
8/19/20,41.96
8/18/20,42.43
8/17/20,42.64
8/14/20,43.2
8/13/20,43.01
8/12/20,44.09
8/11/20,44.97
8/10/20,44.51
8/7/20,43.44
8/6/20,43.64
8/5/20,43.85
8/4/20,43.47
8/3/20,42.25
7/31/20,42.08
7/30/20,41.87
7/29/20,44.03
7/28/20,43.55
7/27/20,44.07
7/24/20,43.43
7/23/20,43.7
7/22/20,43.61
7/21/20,44.65
7/20/20,42.5
7/17/20,43.52
7/16/20,44.28
7/15/20,44.63
7/14/20,44.07
7/13/20,42.66
7/10/20,42.65
7/9/20,41.36
7/8/20,43.14
7/7/20,43.24
7/6/20,44.39
7/2/20,44.08
7/1/20,43.71
6/30/20,44.72
6/29/20,44.32
6/26/20,43.62
6/25/20,45.17
6/24/20,44.5
6/23/20,46.7
6/22/20,46.42
6/19/20,45.98
6/18/20,46.92
6/17/20,46.63
6/16/20,48.2
6/15/20,47.14
6/12/20,47.17
6/11/20,46.18
6/10/20,50.65
6/9/20,53.52
6/8/20,54.74
6/5/20,53.08
6/4/20,49.1
6/3/20,49.24
6/2/20,47.31
6/1/20,46.28
5/29/20,45.47
5/28/20,45.04
5/27/20,46.24
5/26/20,45.91
5/22/20,44.6
5/21/20,44.56
5/20/20,45.37
5/19/20,43.94
5/18/20,45.34
5/15/20,42
5/14/20,42.3
5/13/20,41.93
5/12/20,44.12
5/11/20,45.74
5/8/20,46.18
5/7/20,44.24
5/6/20,43.99
5/5/20,44.83
5/4/20,44.88
5/1/20,43.14
4/30/20,46.47
4/29/20,47.46
4/28/20,44.97
4/27/20,43.94
4/24/20,43.73
4/23/20,43.45
4/22/20,42.13
4/21/20,40.96
4/20/20,41.18
4/17/20,43.22
4/16/20,39.15
4/5/20,39.21
4/4/20,39.21
4/3/20,42.07
4/2/20,38.63
4/1/20,36.49
3/31/20,38.3
3/30/20,36.95
3/29/20,36.95
3/23/20,31.47
3/22/20,32.74
3/21/20,32.74
3/20/20,32.83
3/19/20,33.37
3/17/20,34.49
3/16/20,38.12
3/11/20,43.41
3/9/20,40.88
3/8/20,47.69
3/7/20,47.69
3/6/20,50.11
3/5/20,52.42
3/4/20,51.3
3/3/20,53.88
3/2/20,51.44
3/1/20,51.44
2/29/20,51.44
2/28/20,51.44
2/27/20,49.82
2/26/20,53.01
2/25/20,54.2
2/24/20,56.36
2/21/20,59.13
2/20/20,59.86
2/19/20,60.34
2/18/20,59.88
2/14/20,60.65
2/13/20,60.93
2/12/20,61.27
2/11/20,60.53
2/10/20,59.96
2/7/20,61.47
2/6/20,61.88
2/5/20,62.73
2/4/20,59.97
2/3/20,60.73
1/31/20,62.12
1/30/20,64.79
1/29/20,64.11
1/28/20,64.65
1/27/20,64.74
1/24/20,66.32
1/23/20,66.77
1/22/20,67.19
1/21/20,67.58
1/17/20,68.56
1/16/20,68.82
1/15/20,69.09
1/14/20,69.2
1/13/20,69.8
1/10/20,69.14
1/9/20,69.76
1/8/20,69.23
1/7/20,70.29
1/6/20,70.87
1/3/20,70.33
1/2/20,70.9
