date,senti_score
12/31/20,-0.1
12/30/20,-0.4
12/29/20,-0.5
12/24/20,-0.2
12/22/20,0.3
12/19/20,-0.05
12/18/20,-0.1
12/17/20,-0.3
12/16/20,-0.33
12/15/20,0.1
12/13/20,-0.4
12/12/20,-0.4
12/9/20,-0.13
12/8/20,-0.18
12/4/20,-0.05
12/3/20,-0.37
12/2/20,-0.28
12/1/20,-0.3
11/27/20,0.1
11/26/20,-0.3
11/25/20,-0.3
11/18/20,-0.43
11/11/20,0.1
11/10/20,0.1
11/9/20,-0.22
11/8/20,-0.55
11/4/20,-0.37
10/28/20,0.1
10/25/20,-0.53
10/13/20,-0.1
10/7/20,0
10/6/20,-0.35
10/2/20,-0.2
9/30/20,-0.2
9/28/20,-0.3
9/25/20,-0.3
9/24/20,-0.1
9/22/20,-0.1
9/14/20,-0.7
8/28/20,-0.33
8/27/20,-0.1
8/26/20,-0.3
8/25/20,-0.15
8/24/20,0.15
8/7/20,-0.3
8/3/20,-0.4
7/31/20,-0.39
7/30/20,-0.35
7/28/20,0.1
7/27/20,-0.3
7/25/20,-0.3
7/24/20,-0.5
7/21/20,0.17
7/17/20,-0.3
6/29/20,-0.7
6/26/20,-0.1
6/25/20,-0.1
6/24/20,-0.8
6/10/20,-0.2
5/29/20,0.1
5/28/20,-0.1
5/27/20,-0.4
5/21/20,-0.2
5/18/20,-0.2
5/13/20,-0.6
5/12/20,-0.1
5/8/20,-0.5
5/4/20,-0.1
5/1/20,-0.08
4/29/20,0.1
4/27/20,-0.1
4/26/20,-0.1
4/24/20,-0.1
4/22/20,0.2
4/20/20,-0.1
4/17/20,-0.3
4/16/20,-0.1
4/14/20,-0.25
4/13/20,-0.17
4/7/20,-0.16
3/31/20,-0.5
3/22/20,-0.5
3/18/20,-0.4
3/17/20,-0.7
3/12/20,-0.4
3/11/20,0.3
3/10/20,-0.1
3/5/20,0.2
2/24/20,0.1
2/20/20,-0.2
2/12/20,0.1
2/7/20,0.3
2/3/20,-0.23
1/31/20,-0.05
1/30/20,-0.1
1/27/20,-0.17
1/26/20,-0.1
1/24/20,-0.07
1/4/20,-0.2
1/3/20,-0.4
1/2/20,-0.1
